Threshold_Years,FP_Cost,FN_Cost,Cost_Ratio,Best_Thresh,FP,FN,FP_Rate,FN_Rate,Error_Ratio_FP_to_FN
6,52,48,1.0833333333333333,0.46,108,122,0.20300751879699247,0.18885448916408668,0.8852459016393442
6,51,49,1.0408163265306123,0.46,108,122,0.20300751879699247,0.18885448916408668,0.8852459016393442
6,50,50,1.0,0.39,144,85,0.2706766917293233,0.13157894736842105,1.6941176470588235
6,49,51,0.9607843137254902,0.39,144,85,0.2706766917293233,0.13157894736842105,1.6941176470588235
6,48,52,0.9230769230769231,0.39,144,85,0.2706766917293233,0.13157894736842105,1.6941176470588235
6,47,53,0.8867924528301887,0.39,144,85,0.2706766917293233,0.13157894736842105,1.6941176470588235
6,46,54,0.8518518518518519,0.39,144,85,0.2706766917293233,0.13157894736842105,1.6941176470588235
6,45,55,0.8181818181818182,0.39,144,85,0.2706766917293233,0.13157894736842105,1.6941176470588235
6,44,56,0.7857142857142857,0.39,144,85,0.2706766917293233,0.13157894736842105,1.6941176470588235
6,43,57,0.7543859649122807,0.38,153,78,0.287593984962406,0.12074303405572756,1.9615384615384615
6,42,58,0.7241379310344828,0.38,153,78,0.287593984962406,0.12074303405572756,1.9615384615384615
6,41,59,0.6949152542372882,0.38,153,78,0.287593984962406,0.12074303405572756,1.9615384615384615
6,40,60,0.6666666666666666,0.38,153,78,0.287593984962406,0.12074303405572756,1.9615384615384615
6,39,61,0.639344262295082,0.38,153,78,0.287593984962406,0.12074303405572756,1.9615384615384615
6,38,62,0.6129032258064516,0.38,153,78,0.287593984962406,0.12074303405572756,1.9615384615384615
6,37,63,0.5873015873015873,0.38,153,78,0.287593984962406,0.12074303405572756,1.9615384615384615
6,36,64,0.5625,0.37,165,71,0.3101503759398496,0.10990712074303406,2.323943661971831
6,35,65,0.5384615384615384,0.37,165,71,0.3101503759398496,0.10990712074303406,2.323943661971831
6,34,66,0.5151515151515151,0.37,165,71,0.3101503759398496,0.10990712074303406,2.323943661971831
6,33,67,0.4925373134328358,0.21000000000000002,254,26,0.4774436090225564,0.04024767801857585,9.76923076923077
6,32,68,0.47058823529411764,0.21000000000000002,254,26,0.4774436090225564,0.04024767801857585,9.76923076923077
6,31,69,0.4492753623188406,0.21000000000000002,254,26,0.4774436090225564,0.04024767801857585,9.76923076923077
6,30,70,0.42857142857142855,0.21000000000000002,254,26,0.4774436090225564,0.04024767801857585,9.76923076923077
6,29,71,0.4084507042253521,0.21000000000000002,254,26,0.4774436090225564,0.04024767801857585,9.76923076923077
6,28,72,0.3888888888888889,0.21000000000000002,254,26,0.4774436090225564,0.04024767801857585,9.76923076923077
6,27,73,0.3698630136986301,0.21000000000000002,254,26,0.4774436090225564,0.04024767801857585,9.76923076923077
6,26,74,0.35135135135135137,0.21000000000000002,254,26,0.4774436090225564,0.04024767801857585,9.76923076923077
6,25,75,0.3333333333333333,0.21000000000000002,254,26,0.4774436090225564,0.04024767801857585,9.76923076923077
6,24,76,0.3157894736842105,0.21000000000000002,254,26,0.4774436090225564,0.04024767801857585,9.76923076923077
6,23,77,0.2987012987012987,0.21000000000000002,254,26,0.4774436090225564,0.04024767801857585,9.76923076923077
6,22,78,0.28205128205128205,0.19,275,20,0.5169172932330827,0.030959752321981424,13.75
6,21,79,0.26582278481012656,0.19,275,20,0.5169172932330827,0.030959752321981424,13.75
6,20,80,0.25,0.19,275,20,0.5169172932330827,0.030959752321981424,13.75
6,19,81,0.2345679012345679,0.19,275,20,0.5169172932330827,0.030959752321981424,13.75
6,18,82,0.21951219512195122,0.19,275,20,0.5169172932330827,0.030959752321981424,13.75
6,17,83,0.20481927710843373,0.19,275,20,0.5169172932330827,0.030959752321981424,13.75
6,16,84,0.19047619047619047,0.19,275,20,0.5169172932330827,0.030959752321981424,13.75
6,15,85,0.17647058823529413,0.19,275,20,0.5169172932330827,0.030959752321981424,13.75
6,14,86,0.16279069767441862,0.19,275,20,0.5169172932330827,0.030959752321981424,13.75
6,13,87,0.14942528735632185,0.19,275,20,0.5169172932330827,0.030959752321981424,13.75
6,12,88,0.13636363636363635,0.19,275,20,0.5169172932330827,0.030959752321981424,13.75
6,11,89,0.12359550561797752,0.19,275,20,0.5169172932330827,0.030959752321981424,13.75
